id,revenue
3001,8368742.773324926
3002,2382223.6879418106
3003,4970113.091602737
3004,6632637.663175908
3005,804675.0327519164
3006,1970682.9028390953
3007,1620516.8785261647
3008,24247645.648620106
3009,30938892.16253176
3010,274398833.7870761
3011,40056.46241761751
3012,329678.70376661606
3013,11412184.416453212
3014,321092.21963736473
3015,29300625.531566475
3016,116904.27274861388
3017,138309367.43782884
3018,109366227.69047867
3019,15982603.881806215
3020,220985915.4179608
3021,33222520.855688978
3022,49742630.47242842
3023,399902.2902831747
3024,8307398.533926476
3025,770375.7247156677
3026,65392926.51849621
3027,6444605.1634666845
3028,76292779.43667327
3029,288284.4836744326
3030,33555201.579395
3031,6548614.949266389
3032,2475619.5777000077
3033,57981.602553142
3034,91311.60075664676
3035,1073551.991985225
3036,6192148.256689236
3037,96940302.59709278
3038,17407043.593836304
3039,4192600.731156592
3040,1398520.3360178557
3041,14180719.124268578
3042,2129827.904625196
3043,5508077.698057253
3044,811349.2134347826
3045,548540908.8657981
3046,1152674.0380749088
3047,2175229.5432706485
3048,8787113.42229599
3049,27634075.979131024
3050,35535535.555042766
3051,116957.71370361498
3052,10017835.763033813
3053,139143.28358489877
3054,45972.379621662694
3055,51307545.31099775
3056,11714.529768513656
3057,61160173.258719966
3058,224508322.9988877
3059,117426.51566070868
3060,62807485.39111279
3061,58321274.03599491
3062,21764198.140608616
3063,24146669.682075184
3064,6456938.9405945195
3065,32557065.64275241
3066,119100940.47519308
3067,721204.0772404361
3068,69834455.44837347
3069,267730274.60678592
3070,879249.2996482695
3071,5198984.240802684
3072,239881322.7134679
3073,1643039.733716967
3074,137643.72294861684
3075,28596829.60099031
3076,141348038.93713367
3077,13040611.952354113
3078,58286899.22222158
3079,21526058.87105788
3080,132840178.70357879
3081,10635454.855605364
3082,5262172.733530509
3083,2628299.2599177645
3084,44245.669158148354
3085,14571478.434452351
3086,49321844.75717404
3087,148722.7274699783
3088,100633.6444469479
3089,35403.629254802996
3090,24590900.72749756
3091,26538131.002884984
3092,3856228.631842415
3093,144121008.6859266
3094,64702098.60373677
3095,30413790.135841344
3096,1364949.426638518
3097,801182789.3365833
3098,29429320.551896628
3099,49491182.87765677
3100,1459028.8847633896
3101,10474356.839504676
3102,993079.4725107491
3103,982668.0436103559
3104,3886660.855340071
3105,95829389.48010962
3106,62904729.74332391
3107,22290116.67741411
3108,7151862.704420589
3109,6014393.778363457
3110,183615162.63227352
3111,3763329.58730238
3112,207987.45400708987
3113,5242364.477680193
3114,8888930.06684641
3115,8222712.003041361
3116,5586651.1950431615
3117,448739.7509025972
3118,525182.4281033359
3119,133719802.2908611
3120,31775101.236869317
3121,354254.2154077117
3122,7762802.637563409
3123,7158318.564078822
3124,279361.4365948145
3125,103252.96624683296
3126,24329303.893428095
3127,4822032.900416232
3128,31394635.95910027
3129,179153667.96268684
3130,10925287.461244216
3131,2542792.3350120573
3132,1930589.3066152416
3133,437472.2854602735
3134,5727202.134178851
3135,1438176.1405094024
3136,2525084.357504743
3137,122325259.52894132
3138,1019462.28683947
3139,24025566.901314437
3140,51360484.486482844
3141,5925185.015360601
3142,1725622.171989663
3143,113980100.55299506
3144,7897825.219942781
3145,7698806.705665683
3146,1435487.7757759287
3147,7153882.321089436
3148,3977246.2872653943
3149,54164346.886737965
3150,78221516.28276725
3151,2918633.6198102036
3152,9760242.448752873
3153,2170843.6468639607
3154,4439624.451067462
3155,12293277.576514382
3156,5686973.319516773
3157,4860450.243528102
3158,97744987.00615023
3159,8376254.859899821
3160,14434846.569676677
3161,320065.7889552134
3162,4494951.016582128
3163,73153277.24405436
3164,2003610.609179618
3165,331162.9716827329
3166,447716.08595238376
3167,34289908.136929855
3168,1520545.640022956
3169,8388825.926486501
3170,5360926.701794071
3171,14663235.95187955
3172,21397777.745055817
3173,724583.554198973
3174,833446.5750802078
3175,6878911.762269238
3176,22465742.39775473
3177,107538398.36680692
3178,2713285.26681384
3179,4828754.359722066
3180,3617657.641236848
3181,791187.3042370899
3182,93789194.40885676
3183,23077072.017430544
3184,26820557.469574068
3185,85839514.32199107
3186,56411445.43291414
3187,2690649.941787413
3188,6546766.706583636
3189,49456639.33907479
3190,16279183.779132204
3191,23334792.814114444
3192,2168012.08277791
3193,219627319.552274
3194,64697696.48238144
3195,218072.34497734281
3196,1430814.8111436204
3197,3546489.316721089
3198,145623750.051239
3199,79986373.4749459
3200,7675926.47855845
3201,3503770.0750230914
3202,3445730.896139847
3203,314369.0531880709
3204,2112477.8793657892
3205,1338086.0530849604
3206,14217729.029855024
3207,25320226.66355134
3208,4845100.209259929
3209,3085006.0993845416
3210,568583763.6204062
3211,353292.26197457826
3212,27635371.370508697
3213,47275763.53940389
3214,3436285.281198943
3215,2025824.483839481
3216,5624489.319282428
3217,326379267.3947567
3218,9311618.432906663
3219,649703.8966412767
3220,97664471.76510417
3221,10749877.251556486
3222,1428015.066775875
3223,20980906.095327795
3224,732209.8005534848
3225,6897487.8946441915
3226,3446405.938930647
3227,47840663.42256164
